"city-name","city-url"
"abovyan","https://pogoda.mail.ru/prognoz/abovyan/"
"alaverdi","https://pogoda.mail.ru/prognoz/alaverdi/"
"aparan","https://pogoda.mail.ru/prognoz/aparan/"
"ararat","https://pogoda.mail.ru/prognoz/ararat/"
"armawir","https://pogoda.mail.ru/prognoz/armawir/"
"artashat","https://pogoda.mail.ru/prognoz/artashat/"
"artik","https://pogoda.mail.ru/prognoz/artik/"
"astkhadzor","https://pogoda.mail.ru/prognoz/astkhadzor/"
"ashtarak","https://pogoda.mail.ru/prognoz/ashtarak/"
"echmiadzin","https://pogoda.mail.ru/prognoz/echmiadzin/"
"vanadzor","https://pogoda.mail.ru/prognoz/vanadzor/"
"gavar","https://pogoda.mail.ru/prognoz/gavar/"
"goris","https://pogoda.mail.ru/prognoz/goris/"
"gyumri","https://pogoda.mail.ru/prognoz/gyumri/"
"djermuk","https://pogoda.mail.ru/prognoz/djermuk/"
"dilizhan","https://pogoda.mail.ru/prognoz/dilizhan/"
"erevan","https://pogoda.mail.ru/prognoz/erevan/"
"ehegnadzor","https://pogoda.mail.ru/prognoz/ehegnadzor/"
"idjevan","https://pogoda.mail.ru/prognoz/idjevan/"
"kapan","https://pogoda.mail.ru/prognoz/kapan/"
"martuni","https://pogoda.mail.ru/prognoz/martuni/"
"megri","https://pogoda.mail.ru/prognoz/megri/"
"hrazdan","https://pogoda.mail.ru/prognoz/hrazdan/"
"sevan","https://pogoda.mail.ru/prognoz/sevan/"
"spitak","https://pogoda.mail.ru/prognoz/spitak/"
"stepanovan","https://pogoda.mail.ru/prognoz/stepanovan/"
"tashir","https://pogoda.mail.ru/prognoz/tashir/"
"tsahkadzor","https://pogoda.mail.ru/prognoz/tsahkadzor/"
